patent_id,ipc8,ipc_num
CN1900047A,  B01J  21/04        20060101ALI20070124BHCN         ,2
CN1900047A,  B01J  23/04        20060101ALI20070124BHCN         ,3
CN1900047A,  B01J  23/06        20060101ALI20070124BHCN         ,4
CN1900047A,  B01J  23/835       20060101ALI20070124BHCN         ,5
CN1900047A,  C07C  68/06        20060101ALI20070124BHCN,6
CN1841435A, G08B  17/10        20060101AFI20061004BHCN         ,1
CN1841435A,  G08B  17/06        20060101ALI20061004BHCN,2
CN1808241A, G02F   1/1335      20060101AFI20060726BHCN         ,1
CN1808241A,  F21S   2/00        20160101ALI20140318RHJP         ,2
CN1808241A,  F21Y 101/00        20160101ALN20140318RHJP         ,3
CN1808241A,  F21Y 103/00        20160101ALN20140318RHJP         ,4
CN1808241A,  G02F   1/133       20060101ALI20060726BHCN         ,5
CN1808241A,  G02F   1/13357     20060101ALI20140318RHJP         ,6
CN1808241A,  H04N   5/00        20060101ALI20060726BHCN,7
CN1775696A, C02F   1/28        20060101AFI20060524BHCN         ,1
CN1775696A,  C02F   1/461       20060101ALI20060524BHCN,2
CN1775812A, C08B  30/00        20060101AFI20060524BHCN,1
CN1927230A, A61K  36/00        20060101AFI20070314BHCN,1
CN1988811A, A23J   1/14        20060101AFI20070627BHCN         ,1
CN1988811A,  A23J   3/14        20060101ALI20070627BHCN,2
CN1978481A, C08G  18/48        20060101AFI20070613BHCN         ,1
CN1978481A,  C08G  18/10        20060101ALI20070613BHCN         ,2
CN1978481A,  C08G  18/42        20060101ALI20070613BHCN         ,3
CN1978481A,  C08G  18/72        20060101ALI20070613BHCN,4
CN1935333A, B01D  53/85        20060101AFI20070328BHCN         ,1
CN1935333A,  B01J  19/30        20060101ALI20070328BHCN,2
CN1992890A, H04N   5/00        20110101A I20110101RMEP         ,1
CN1992890A,  H04N   7/24        20110101A I20110101RMEP,2
CN1952070A, C10G  65/12        20060101AFI20070425BHCN,1
CN2049959U, A62B   1/06        20060101A I20051110RMEP,1
CN2218928Y, G01N  21/25        20060101A I20051110RMEP,1
CN2248249Y, F02D  45/00        20060101A I20051110RMEP,1
CN2348980Y, B26D   1/12        20060101A I20051110RMEP,1
CN2575683Y, G01R  33/02        20060101A I20051110RMEP,1
CN2516977Y, G01R  22/00        20060101A I20051110RMEP         ,1
CN2516977Y,  G08C  17/02        20060101A I20051110RMEP,2
CN2451171Y, A63C  17/00        20060101A I20051110RMEP,1
CN2499618Y, F16B   7/18        20060101A I20051110RMEP,1
CN2690140Y, B29C  47/66        20060101A I20051110RMEP,1
CN2568741Y, B32B   3/02        20060101A I20051110RMEP         ,1
CN2568741Y,  E04F  13/08        20060101A I20051110RMEP,2
CN2546971Y, G09B  19/08        20060101A I20051110RMEP,1
CN2649321Y, B29C  71/02        20060101A I20051110RMEP,1
CN2806752Y, E21B  31/107       20060101AFI20060816BHCN,1
CN2786129Y, C12M   1/107       20060101AFI20060607BHCN,1
CN2747429Y, F16K  11/074       20060101A I20060506RMEP,1
CN2930368Y, A43B   7/32        20060101AFI20070808BHCN,1
CN2924212Y, F16K  15/14        20060101AFI20070718BHCN,1
CN100591585C, B65D  55/02        20060101AFI20100301BHCN,1
CN100999179A, B60C  19/12        20060101AFI20070718BHCN         ,1
CN100999179A,  B29C  73/18        20060101ALI20070718BHCN         ,2
CN100999179A,  B29D  30/58        20060101ALI20070718BHCN         ,3
CN100999179A,  C09K   3/12        20060101ALI20070718BHCN,4
CN101025981A, G11B  20/10        20060101AFI20070829BHCN         ,1
CN101025981A,  G11B  27/031       20060101ALI20070829BHCN,2
CN101017982A, H02J   3/38        20060101AFI20070815BHCN         ,1
CN101017982A,  H02J   3/01        20060101ALI20070815BHCN         ,2
CN101017982A,  H02J   3/18        20060101ALI20070815BHCN,3
CN101045758A, C08F   4/76        20060101AFI20071003BHCN         ,1
CN101045758A,  C08F   2/02        20060101ALI20071003BHCN         ,2
CN101045758A,  C08F   2/34        20060101ALI20071003BHCN         ,3
CN101045758A,  C08F  10/02        20060101ALI20071003BHCN,4
CN101087498A, H05K   5/00        20060101AFI20071212BHCN,1
CN101125677A, C01G   9/02        20060101AFI20080220BHCN,1
CN101050251A, C08F  20/06        20060101AFI20071010BHCN         ,1
CN101050251A,  A61L  15/24        20060101ALI20071010BHCN         ,2
CN101050251A,  C08F   2/44        20060101ALI20071010BHCN         ,3
CN101050251A,  C08F   4/40        20060101ALI20071010BHCN         ,4
CN101050251A,  C08K   5/05        20060101ALI20071010BHCN         ,5
CN101050251A,  C08L   3/02        20060101ALI20071010BHCN         ,6
CN101050251A,  C08L   3/04        20060101ALI20071010BHCN         ,7
CN101050251A,  C08L  29/04        20060101ALI20071010BHCN,8
CN101133521A, H01R  13/453       20060101AFI20080227BHCN         ,1
CN101133521A,  H01R  13/625       20060101ALI20080227BHCN,2
CN101080069A, H04Q   7/32        20060101AFI20071128BHCN         ,1
CN101080069A,  H04H   1/00        20060101C I20080329RMEP         ,2
CN101080069A,  H04H  60/47        20080101A I20080329RMEP         ,3
CN101080069A,  H04H  60/65        20080101A I20080329RMEP,4
CN101132573A, H04W   8/24        20090101A I20140301RMEP,1
CN101148579A, C09K   8/38        20060101AFI20080326BHCN,1
CN101233286A, E04C   3/02        20060101AFI20080730BHCN         ,1
CN101233286A,  E04C   3/30        20060101ALI20080730BHCN,2
CN101162323A, G02F   1/1335      20060101AFI20080416BHCN         ,1
CN101162323A,  G02B   6/00        20060101ALI20080416BHCN,2
CN101236835A, H01G   4/12        20060101AFI20080806BHCN         ,1
CN101236835A,  C04B  35/01        20060101ALI20080806BHCN         ,2
CN101236835A,  C04B  35/622       20060101ALI20080806BHCN         ,3
CN101236835A,  H01B   3/12        20060101ALI20080806BHCN,4
CN101225999A, F24H   7/02        20060101AFI20080723BHCN         ,1
CN101225999A,  F23J  15/00        20060101ALI20080723BHCN         ,2
CN101225999A,  F24H   9/18        20060101ALI20080723BHCN,3
CN101226651A, G07C   1/14        20060101AFI20080723BHCN         ,1
CN101226651A,  H04B   5/00        20060101ALI20080723BHCN,2
CN101227139A, H02M   1/06        20060101AFI20080723BHCN         ,1
CN101227139A,  H03K  17/72        20060101ALI20080723BHCN,2
CN101205733A, E03D   3/00        20060101AFI20080625BHCN         ,1
CN101205733A,  E03D  11/10        20060101ALI20080625BHCN,2
CN101182070A, C02F   3/10        20060101AFI20080521BHCN         ,1
CN101182070A,  C02F   3/32        20060101ALI20080521BHCN         ,2
CN101182070A,  C02F 101/30        20060101ALN20080521BHCN,3
CN101229486A, B01D  61/38        20060101AFI20080730BHCN         ,1
CN101229486A,  B01D  11/04        20060101ALI20080730BHCN         ,2
CN101229486A,  B01D  67/00        20060101ALI20080730BHCN         ,3
CN101229486A,  B01D  69/10        20060101ALI20080730BHCN,4
CN101256993A, H01L  23/48        20060101AFI20080903BHCN         ,1
CN101256993A,  H01L  23/29        20060101ALI20080903BHCN         ,2
CN101256993A,  H01L  23/485       20060101ALI20080903BHCN         ,3
CN101256993A,  H01L  23/488       20060101ALI20080903BHCN         ,4
CN101256993A,  H01L  23/49        20060101ALI20080903BHCN,5
CN101278007A, C08L  33/02        20060101AFI20081001BHCN         ,1
CN101278007A,  B32B  27/30        20060101ALI20081001BHCN         ,2
CN101278007A,  C08L  29/04        20060101ALI20081001BHCN,3
CN101332825A, B61F   5/00        20060101AFI20081231BHCN         ,1
CN101332825A,  B61H  11/00        20060101ALI20081231BHCN,2
CN101347407A, A61K   9/08        20060101AFI20090121BHCN         ,1
CN101347407A,  A61K  31/546       20060101ALI20090121BHCN         ,2
CN101347407A,  A61P  31/04        20060101ALI20090121BHCN,3
CN101285442A, F02M  59/02        20060101AFI20081015BHCN,1
CN101318865A, C05G   3/00        20060101AFI20081210BHCN,1
CN101320215A, G03F   7/20        20060101AFI20081210BHCN         ,1
CN101320215A,  G03F   9/00        20060101ALI20081210BHCN,2
CN101320863A, H01R  13/52        20060101AFI20081210BHCN,1
CN101368136A, C11D   1/66        20060101AFI20090218BHCN         ,1
CN101368136A,  C11D   3/06        20060101ALI20090218BHCN         ,2
CN101368136A,  C11D   3/08        20060101ALI20090218BHCN         ,3
CN101368136A,  C11D   3/10        20060101ALI20090218BHCN         ,4
CN101368136A,  C11D   3/30        20060101ALI20090218BHCN,5
CN101407630A, C08L  77/00        20060101AFI20090415BHCN         ,1
CN101407630A,  B29B   9/06        20060101ALI20090415BHCN         ,2
CN101407630A,  B29C  48/92        20190101ALI20190116RMEP         ,3
CN101407630A,  C08K   3/34        20060101ALI20090415BHCN         ,4
