'ID,Serial No,Location,Mfg.,Type,Model,Reading Date,Reading Time,Reading Timezone,Hour Meter,Operator Logon,Equipment Idle,Equipment Meter Usage,Equipment Travel,Equipment Hydraulic
008,1A433192,Greencastle,Crown Equipment Corporation,RC5500,RC5535-35,07/31/20,12:54:56 PM,EDT,10596.4,139.6,23.0,116.6,94.0,43.8
018,1A557464,Greencastle,Crown Equipment Corporation,RC5500,RC5535-35,07/31/20,09:54:15 PM,EDT,1634.1,209.0,120.0,89.0,69.6,14.8
019,1A561968,Greencastle,Crown Equipment Corporation,RC5500,RC5535-35,07/31/20,10:41:24 PM,EDT,1755.6,177.9,102.2,75.7,52.0,13.2
021,1A487607,Greencastle,Crown Equipment Corporation,RC5500,RC5535-35,07/31/20,07:11:32 PM,EDT,5099.1,148.6,37.5,111.0,84.3,22.4
026,1A414315,Greencastle,Crown Equipment Corporation,RC5500,RC5535-35,07/31/20,02:24:52 PM,EDT,11221.5,80.5,51.8,28.7,21.5,2.5
034,1A556918,Greencastle,Crown Equipment Corporation,RC5500,RC5535-35,07/31/20,10:53:44 PM,EDT,1625.6,196.1,125.7,70.4,54.9,10.5
035,1A355947,Greencastle,Crown Equipment Corporation,RC5500,RC5535-35,07/31/20,10:32:57 PM,EDT,17938.9,100.6,41.9,58.7,46.0,6.9
036,1A561969,Greencastle,Crown Equipment Corporation,RC5500,RC5535-35,07/31/20,02:43:56 PM,EDT,957.3,149.1,99.5,49.6,37.5,21.6
037,1A553585,Greencastle,Crown Equipment Corporation,RC5500,RC5535-35,07/31/20,02:42:28 PM,EDT,1676.0,151.9,57.0,94.9,72.5,11.7
053,1A414316,Greencastle,Crown Equipment Corporation,RC5500,RC5535-35,07/31/20,01:58:21 PM,EDT,17920.0,54.7,32.0,22.7,15.5,3.0
055,1A561970,Greencastle,Crown Equipment Corporation,RC5500,RC5535-35,07/31/20,10:06:02 PM,EDT,1153.1,93.3,33.2,60.1,43.0,10.9
065,1A553584,Greencastle,Crown Equipment Corporation,RC5500,RC5535-35,07/31/20,10:49:14 PM,EDT,2468.5,269.4,142.6,126.8,89.4,34.5
066,1A549858,Greencastle,Crown Equipment Corporation,RC5500,RC5535-35,07/31/20,10:16:02 PM,EDT,2863.9,266.2,144.1,122.1,92.1,32.8
111,1A496181,Greencastle,Crown Equipment Corporation,RC5500,RC5535-35,07/31/20,10:31:25 PM,EDT,10483.8,447.0,137.8,309.2,239.9,72.2
